id,category_english,category_korean,question
1,fact,사실 기억,세계에서 가장 오래된 대학은 어디인가?
2,fact,사실 기억,인류가 처음 달에 착륙한 해는 언제인가?
3,fact,사실 기억,노벨상을 최초로 수상한 여성은 누구인가?
4,fact,사실 기억,세계에서 가장 긴 강은 무엇인가?
5,numerical,수치 기반,대한민국의 2024년 출생아 수는 얼마인가?
6,numerical,수치 기반,지구의 적도 둘레 길이는 약 몇 km인가?
7,numerical,수치 기반,2024년 대한민국 1인당 국민총소득(GNI)은 약 얼마인가?
8,numerical,수치 기반,대한민국의 2025년 최저임금은 시간당 얼마인가?
9,definition,정의 설명,기계학습에서 ‘과적합(overfitting)’이란 무엇인가?
10,definition,정의 설명,물리학에서 ‘엔트로피(entropy)’란 무엇인가?
11,definition,정의 설명,경제학의 ‘인플레이션(inflation)’을 정의하라.
12,definition,정의 설명,인공지능에서 ‘강화학습(reinforcement learning)’이란 무엇인가?
13,recent,최신 정보,2024년 미국 대선에서 주요 후보는 누구였는가?
14,recent,최신 정보,2025년 노벨 물리학상 수상자는 누구였는가?
15,recent,최신 정보,2024 파리 올림픽 개막일은 언제였는가?
16,recent,최신 정보,2025년 공개된 영화 케이팝 데몬 헌터스의 감독은 누구인가?
17,reasoning,다단계 추론,"최저임금 10,030원으로 하루 6시간·주 5일 근무할 때 한 달(4주 기준) 월급과 3.3% 공제 후 실수령액을 계산하라. (※주휴수당 미포함, 공제액 계산 시 반올림하여 구하시오)"
18,reasoning,다단계 추론,"A앱(기본 3,000원 + 1km당 700원)과 B앱(기본 5,000원 고정) 중 가게가 3km 떨어져 있을 때 더 저렴한 앱은 어느 쪽인가?"
19,reasoning,다단계 추론,카페 A(5잔 구매 시 1잔 무료)와 카페 B(10잔 구매 시 3잔 무료) 중 총 15잔을 구매할 때 더 이득인 쪽은 어느 카페인가?
20,reasoning,다단계 추론,"한 달에 5편 영화를 볼 경우 연간 시청 편수는 몇 편이며, 넷플릭스 월 17,000원 기준 1편당 비용은 얼마인가?"
21,comparison,비교,MacBook(air M2)과 Windows 노트북(Galaxy Book4 )의 성능·호환성·사용성 차이를 비교하라.
22,comparison,비교,"대방역→한양대 이동 시,버스 이용과 지하철 이용 중 어떤 방식이 더 효율적인가?버스번호와 지하철 번호를 포함한 실제 추선 노선을 설명해라"
23,comparison,비교,풍력발전과 태양광발전의 장단점을 비교하라.
24,comparison,비교,정규화(normalization)와 표준화(standardization)의 차이를 설명하라.
25,misconception,흔한 오해,인간이 뇌의 10%만 사용한다는 주장은 사실인가?
26,misconception,흔한 오해,소가 빨간색을 보면 흥분한다는 말은 사실인가?
27,misconception,흔한 오해,비타민 C가 감기를 예방한다는 말에 과학적 근거가 있는가?
28,misconception,흔한 오해,설탕이 아이들을 과잉행동((Hyperactivity and sugar))하게 만든다라는 주장은 사실인가?
